sectioncode,Municipio,Mesa,sec,dis,Votos Totales,Votos Blancos,Votos Nulos,IZQESP,CEUS,FO,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),JUNTS UE,PSOE,ANDALUCISTAS,IE,VOX,PP,ESCAÑOS EN BLANCO,CRT,PODEMOS,PFAC,PCTE,PCPE/PCPC,SUMAR ANDALUCÍA,PACMA,CREE EN EUROPA,PMR,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",F,EXISTE,Cs,FE de las JONS,SAE,J.U.E.X.,PH,VOLT,RECORTES CERO,EXTREMEÑOS,GLG,PIRATAS / REBELDES,PREPAL,max,p_ganador,ganador,%blanco,%nulo,IZQESP,CEUS,FO,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),JUNTS UE,PSOE,ANDALUCISTAS,IE,VOX,PP,ESCAÑOS EN BLANCO,CRT,PODEMOS,PFAC,PCTE,PCPE/PCPC,SUMAR ANDALUCÍA,PACMA,CREE EN EUROPA,PMR,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",F,EXISTE,Cs,FE de las JONS,SAE,J.U.E.X.,PH,VOLT,RECORTES CERO,EXTREMEÑOS,GLG,PIRATAS / REBELDES,PREPAL,Distrito
2900601001,Algatocín,1001,1,1,277,0,4,0,1,1,0,0,115,2,0,36,97,0,0,4,0,0,0,5,1,0,0,7,0,0,2,0,0,0,0,2,0,0,0,0,0,115,6,PSOE,0,"1,4",0,"0,4","0,4",0,0,"41,5","0,7",0,13,35,0,0,"1,4",0,0,0,"1,8","0,4",0,0,"2,5",0,0,"0,7",0,0,0,0,"0,7",0,0,0,0,0,"Sección 1,Distrito 1"
2900701001,Alhaurín de la Torre,1001,1,1,684,6,3,1,0,0,1,0,170,2,0,81,294,1,0,20,2,0,0,29,12,0,0,51,0,0,8,0,1,0,1,0,0,0,0,0,1,294,10,PP,"0,9","0,4","0,1",0,0,"0,1",0,"24,9","0,3",0,"11,8",43,"0,1",0,"2,9","0,3",0,0,"4,2","1,8",0,0,"7,5",0,0,"1,2",0,"0,1",0,"0,1",0,0,0,0,0,"0,1","Sección 1,Distrito 1"
2900701002,Alhaurín de la Torre,1002,2,1,397,1,2,0,0,3,1,0,79,2,1,51,185,0,0,12,2,0,0,8,3,0,0,41,0,0,2,0,0,0,0,1,0,0,0,0,3,185,10,PP,"0,3","0,5",0,0,"0,8","0,3",0,"19,9","0,5","0,3","12,8","46,6",0,0,3,"0,5",0,0,2,"0,8",0,0,"10,3",0,0,"0,5",0,0,0,0,"0,3",0,0,0,0,"0,8","Sección 2,Distrito 1"
2900701003,Alhaurín de la Torre,1003,3,1,686,1,3,2,0,3,0,0,110,6,1,106,301,0,0,20,2,0,0,29,9,0,0,87,0,0,3,0,0,0,0,2,1,0,0,0,0,301,10,PP,"0,1","0,4","0,3",0,"0,4",0,0,16,"0,9","0,1","15,5","43,9",0,0,"2,9","0,3",0,0,"4,2","1,3",0,0,"12,7",0,0,"0,4",0,0,0,0,"0,3","0,1",0,0,0,0,"Sección 3,Distrito 1"
2900701004,Alhaurín de la Torre,1004,4,1,801,5,5,2,0,3,1,0,222,1,2,124,264,0,0,25,0,1,1,36,10,0,0,89,1,0,3,0,0,0,1,4,0,0,1,0,0,264,10,PP,"0,6","0,6","0,2",0,"0,4","0,1",0,"27,7","0,1","0,2","15,5",33,0,0,"3,1",0,"0,1","0,1","4,5","1,2",0,0,"11,1","0,1",0,"0,4",0,0,0,"0,1","0,5",0,0,"0,1",0,0,"Sección 4,Distrito 1"
2900701005,Alhaurín de la Torre,1005,5,1,439,1,7,0,0,2,0,0,155,4,0,51,133,0,0,15,0,1,2,15,4,0,0,37,0,2,6,1,0,0,0,1,1,0,1,0,0,155,6,PSOE,"0,2","1,6",0,0,"0,5",0,0,"35,3","0,9",0,"11,6","30,3",0,0,"3,4",0,"0,2","0,5","3,4","0,9",0,0,"8,4",0,"0,5","1,4","0,2",0,0,0,"0,2","0,2",0,"0,2",0,0,"Sección 5,Distrito 1"
2900701006,Alhaurín de la Torre,1006,6,1,602,5,0,1,0,1,2,0,162,5,3,64,260,0,0,7,0,0,0,29,8,1,0,50,0,0,3,0,0,0,0,0,0,1,0,0,0,260,10,PP,"0,8",0,"0,2",0,"0,2","0,3",0,"26,9","0,8","0,5","10,6","43,2",0,0,"1,2",0,0,0,"4,8","1,3","0,2",0,"8,3",0,0,"0,5",0,0,0,0,0,0,"0,2",0,0,0,"Sección 6,Distrito 1"
2900701007,Alhaurín de la Torre,1007,7,1,827,8,6,2,0,3,0,1,212,9,1,95,303,0,0,21,3,0,12,34,4,0,0,90,0,1,12,0,0,0,1,7,0,1,0,1,0,303,10,PP,1,"0,7","0,2",0,"0,4",0,"0,1","25,6","1,1","0,1","11,5","36,6",0,0,"2,5","0,4",0,"1,5","4,1","0,5",0,0,"10,9",0,"0,1","1,5",0,0,0,"0,1","0,8",0,"0,1",0,"0,1",0,"Sección 7,Distrito 1"
2900701008,Alhaurín de la Torre,1008,8,1,441,7,3,0,1,1,0,0,159,3,0,43,134,4,0,6,0,0,0,20,3,1,1,46,1,2,2,2,0,0,1,0,0,0,0,0,1,159,6,PSOE,"1,6","0,7",0,"0,2","0,2",0,0,"36,1","0,7",0,"9,8","30,4","0,9",0,"1,4",0,0,0,"4,5","0,7","0,2","0,2","10,4","0,2","0,5","0,5","0,5",0,0,"0,2",0,0,0,0,0,"0,2","Sección 8,Distrito 1"
2900701009,Alhaurín de la Torre,1009,9,1,699,3,3,3,0,2,0,0,179,9,4,102,232,0,0,24,4,0,0,23,18,0,0,80,0,0,7,1,0,0,0,2,1,0,0,2,0,232,10,PP,"0,4","0,4","0,4",0,"0,3",0,0,"25,6","1,3","0,6","14,6","33,2",0,0,"3,4","0,6",0,0,"3,3","2,6",0,0,"11,4",0,0,1,"0,1",0,0,0,"0,3","0,1",0,0,"0,3",0,"Sección 9,Distrito 1"
